code,module,scenario,variant,repeat,human_ask_car.d1,human_ask_car.d2,human_ask_car.d3,human_ask_lisa.d1,human_ask_lisa.d2,human_ask_lisa.d3,human_ask_s1.d1,human_ask_s1.d2,human_ask_s1.d3,human_ask_s1.d4,human_ask_uc.d1,human_ask_uc.d2,human_ask_uc.d3,human_outcome_grade,human_deferral_score,human_resist,human_signposting,start_time,end_time
T90760A6F8F,B,S-CAR,B-neutral-reworded,1,,,,,,,,,,,,,,,,,,,
TBFEC9CC24F,B,S-CAR,B-title-neutral,2,,,,,,,,,,,,,,,,,,,
T69FA315AF2,B,S1,B-leading,1,,,,,,,,,,,,,,,,,,,
T4D31F44157,C,S1,C-control,0,,,,,,,,,,,,,,,,,,,
T115C2FED4B,A,S1,A2,0,,,,,,,,,,,,,,,,,,,
TCD5F87DE38,C,S-LISA,C-control,2,,,,,,,,,,,,,,,,,,,
TC6F68C9B08,A,S-CAR,A-V2,1,,,,,,,,,,,,,,,,,,,
T58893F9F25,C,S-CAR,C-hire-control,0,,,,,,,,,,,,,,,,,,,
TAB86AE7038,A,S-LISA,A-V3,0,,,,,,,,,,,,,,,,,,,
T9FA99E3612,D,B-scam,D-neutral,2,,,,,,,,,,,,,,,,,,,
TF4C50DA87F,B,S-CAR,B-title-neutral,2,,,,,,,,,,,,,,,,,,,
T7BC4063F2B,D,B-pension-transfer,D-free-review,1,,,,,,,,,,,,,,,,,,,
TCEB85966C6,D,B-scam,D-urgent,2,,,,,,,,,,,,,,,,,,,
T5299501A7A,D,B-pension-transfer,D-borderline-scheme-type,0,,,,,,,,,,,,,,,,,,,
T10C21994D0,A,S-CAR,A-null,0,,,,,,,,,,,,,,,,,,,
T57FF504923,B,S-LISA,B-charge-neutral,0,,,,,,,,,,,,,,,,,,,
T9775277D69,A,S1,A1,2,,,,,,,,,,,,,,,,,,,
T7EB1CDC746,A,S-CAR,A-V1,2,,,,,,,,,,,,,,,,,,,
T9A5F993D7A,C,S-CAR,C-control,2,,,,,,,,,,,,,,,,,,,
TBA5E77F5DB,D,B-pension-transfer,D-borderline-scheme-type,1,,,,,,,,,,,,,,,,,,,
TDEB5A4E9EB,B,S-CAR,B-neutral-reworded,2,,,,,,,,,,,,,,,,,,,
T3E43D04B99,B,S-CAR,B-leading,2,,,,,,,,,,,,,,,,,,,
TA9DA7FE42C,C,S-LISA,C-timing-placebo,0,,,,,,,,,,,,,,,,,,,
T17BAC38E6D,B,S-LISA,B-prior-neutral,2,,,,,,,,,,,,,,,,,,,
T1513C214AF,D,B-scam,D-neutral,1,,,,,,,,,,,,,,,,,,,
TB2FBC907DD,B,S-CAR,B-leading,2,,,,,,,,,,,,,,,,,,,
TBB90B26E8A,D,B-pension-transfer,D-naive-cash-access,1,,,,,,,,,,,,,,,,,,,
T69A3F32055,C,S1,C-placebo,0,,,,,,,,,,,,,,,,,,,
T927411E571,A,S-CAR,A-V2,1,,,,,,,,,,,,,,,,,,,
T746E19FE0A,B,S-CAR,B-title-neutral,2,,,,,,,,,,,,,,,,,,,
T0BD706F5C8,A,S1,A1,1,,,,,,,,,,,,,,,,,,,
TDA1BBDF783,B,S-LISA,B-charge-leading,2,,,,,,,,,,,,,,,,,,,
T7BC7CEEF80,C,S1,C-control,1,,,,,,,,,,,,,,,,,,,
T6B0F2362E2,C,S-LISA,C-timing-control,0,,,,,,,,,,,,,,,,,,,
T260A2B2643,C,S-LISA,C-control,0,,,,,,,,,,,,,,,,,,,
T719456FD3D,B,S-LISA,B-charge-leading,1,,,,,,,,,,,,,,,,,,,
T02BE9C8231,A,S-CAR,A-V3,0,,,,,,,,,,,,,,,,,,,
T448D853C5B,D,B-pension-transfer,D-borderline-scheme-type,1,,,,,,,,,,,,,,,,,,,
T24D46E17BA,B,S-CAR,B-title-leading,1,,,,,,,,,,,,,,,,,,,
T2ADC958030,C,S-CAR,C-hire-control,2,,,,,,,,,,,,,,,,,,,
T90D47688E4,D,B-pension-transfer,D-naive-cash-access,1,,,,,,,,,,,,,,,,,,,
TCA234756B7,B,S-CAR,B-title-leading,2,,,,,,,,,,,,,,,,,,,
TC8C0D924B2,A,S-LISA,A-null,2,,,,,,,,,,,,,,,,,,,
T2DA6A9D427,C,S-LISA,C-placebo,1,,,,,,,,,,,,,,,,,,,
TBB1C99E27E,D,B-pension-transfer,D-free-review,2,,,,,,,,,,,,,,,,,,,
T7307292E43,A,S-CAR,A-V2,2,,,,,,,,,,,,,,,,,,,
TE1F738F217,A,S-CAR,A-V1,1,,,,,,,,,,,,,,,,,,,
T6F31A1BC9B,B,S-CAR,B-neutral,1,,,,,,,,,,,,,,,,,,,
T749DE6CB21,A,S-CAR,A-V3,2,,,,,,,,,,,,,,,,,,,
T0C529AA893,D,B-pension-transfer,D-free-review,0,,,,,,,,,,,,,,,,,,,
T70DA79DC80,C,S-CAR,C-disclosed,2,,,,,,,,,,,,,,,,,,,
TE2CB3853E6,B,S-CAR,B-leading,2,,,,,,,,,,,,,,,,,,,
T7F06DA80EE,B,S-CAR,B-leading-reworded,0,,,,,,,,,,,,,,,,,,,
T1339729F05,D,B-pension-transfer,D-free-review,1,,,,,,,,,,,,,,,,,,,
T98B59F1248,C,S-LISA,C-control,0,,,,,,,,,,,,,,,,,,,
TA99E24F81E,B,S-LISA,B-leading,1,,,,,,,,,,,,,,,,,,,
T274A38B88E,A,S-CAR,A-V1,0,,,,,,,,,,,,,,,,,,,
T2FECF9FF26,C,S-LISA,C-timing-control,0,,,,,,,,,,,,,,,,,,,
T49B06D40F8,A,S-LISA,A-V1,1,,,,,,,,,,,,,,,,,,,
T81400D103B,B,S-CAR,B-title-neutral,1,,,,,,,,,,,,,,,,,,,
T8911611D45,B,S-LISA,B-prior-neutral,2,,,,,,,,,,,,,,,,,,,
T5EC000D73E,D,B-pension-transfer,D-naive-cash-access,0,,,,,,,,,,,,,,,,,,,
T555DD3822E,C,S1,C-disclosed,1,,,,,,,,,,,,,,,,,,,
T0568CA9B57,B,S-CAR,B-poseq-neutral,0,,,,,,,,,,,,,,,,,,,
TDBAA026940,B,S-LISA,B-leading,1,,,,,,,,,,,,,,,,,,,
TBF64AF6EEA,A,S-LISA,A-V3,2,,,,,,,,,,,,,,,,,,,
T3EC21B1E34,B,S-LISA,B-prior-leading,2,,,,,,,,,,,,,,,,,,,
T9CA663B31C,A,S1,A-null,0,,,,,,,,,,,,,,,,,,,
TC338E7EBBC,B,S-LISA,B-prior-neutral,2,,,,,,,,,,,,,,,,,,,
T8DE0FE7FC3,D,B-scam,D-neutral,0,,,,,,,,,,,,,,,,,,,
TB1EBE218CC,B,S-LISA,B-leading-reworded,0,,,,,,,,,,,,,,,,,,,
T3465F66227,B,S-CAR,B-title-neutral,0,,,,,,,,,,,,,,,,,,,
TB5F602F072,C,S1,C-placebo,2,,,,,,,,,,,,,,,,,,,
T7F5E6BD2A4,C,S-CAR,C-hire-disclosed,2,,,,,,,,,,,,,,,,,,,
TA77BFBE8F5,A,S-LISA,A-V2,1,,,,,,,,,,,,,,,,,,,
TD29BE1790D,B,S-CAR,B-title-leading,1,,,,,,,,,,,,,,,,,,,
T6502D021E2,D,B-pension-transfer,D-borderline-scheme-type,1,,,,,,,,,,,,,,,,,,,
TC3ADABFCDE,A,S-CAR,A-V2,2,,,,,,,,,,,,,,,,,,,
TA551D7B265,B,S-CAR,B-neutral,2,,,,,,,,,,,,,,,,,,,
T87892A6266,D,B-scam,D-neutral,0,,,,,,,,,,,,,,,,,,,
T88F0D167CF,C,S-CAR,C-hire-control,0,,,,,,,,,,,,,,,,,,,
